,name,studio,yearReleased,rating
133,Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 3rd Season, Ajia-Do, 2022,8.00
134,Horimiya, CloverWorks, 2021,8.62
135,Hortensia Saga (TV), LIDENFILMS, 2021,0.0
136,Hoshi no Samidare, NAZ, 2022,0.0
137,Hyouken no Majutsushi ga Sekai wo Suberu, Cloud Hearts, 2023,0.0
138,Hypnosis Mic: Division Rap Battle – Rhyme Anima, A-1 Pictures, 2020,6.26
139,I★Chu: Halfway Through the Idol, Lay-duce, 2021,0.0
140,IDOLiSH7: Second Beat!, TROYCA, 2020,7.75
141,IDOLiSH7: Third Beat! Part 2, TROYCA, 2022,7.52
142,Idoly Pride, Lerche, 2021,0.0
143,"Ijiranaide, Nagatoro-san", Telecom Animation Film, 2021,0.0
144,"Ijiranaide, Nagatoro-san 2nd Attack", OLM, 2023,0.0
145,Ikebukuro West Gate Park, Doga Kobo, 2020,6.61
146,Inu ni Nattara Suki na Hito ni Hirowareta., Quad, 2023,5.67
147,Inu ni Nattara Suki na Hito ni Hirowareta. (Uncensored), Quad, 2023,5.67
148,Isekai Cheat Magician: Yoiboshi no Matsuri to Majutsushi, Encourage Films, 2021,0.0
149,Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω," Okuruto Noboru, Tezuka Productions", 2021,0.0
150,Isekai Meikyuu de Harem wo, Passione, 2022,0.0
151,Isekai Meikyuu de Harem wo (Uncensored), Passione, 2022,7.29
152,Isekai Nonbiri Nouka, Zero-G, 2023,0.0
153,Isekai Ojisan, AtelierPontdarc, 2022,0.0
154,Isekai Shokudou 2, TV, Censored,0.0
155,Isekai Yakkyoku, Diomedéa, 2022,7.65
156,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu. 2, SILVER LINK., 2022,7.48
157,Iwa Kakeru!: Sport Climbing Girls, Blade, 2020,6.23
158,Jaku-Chara Tomozaki-kun, Project No.9, 2021,0.0
159,Jashin-chan Dropkick X, 2022, Summer 2022,0.0
160,Jintai no Survival!," Gallop, Toei Animation", 2020,0.0
161,Jouran: The Princess of Snow and Blood, Bakken Record, 2021,6.77
162,Jujutsu Kaisen (TV), MAPPA, 2020,8.28
163,K-On!: Live House!, Kyoto Animation, 2010,7.83
164,Kage no Jitsuryokusha ni Naritakute!, Nexus, 2022,0.0
165,Kageki Shoujo!!, Pine Jam, 2021,0.0
166,Kaginado, LIDENFILMS Kyoto Studio, 2021,0.0
167,Kaguya-sama wa Kokurasetai: Ultra Romantic, A-1 Pictures, 2022,8.57
168,Kai Byoui Ramune, Platinum Vision, 2021,0.0
169,Kaifuku Jutsushi no Yarinaoshi, TNK, 2021,6.88
170,Kaifuku Jutsushi no Yarinaoshi (Uncensored), TNK, 2021,6.32
171,Kaijin Kaihatsu-bu no Kuroitsu-san, Quad, 2022,0.0
172,Kaiko sareta Ankoku Heishi (30-dai) no Slow na Second Life, Encourage Films, 2023,0.0
173,Kaizoku Oujo, Production I.G, 2021,7.60
174,Kakegurui Twin, MAPPA, 2022,0.0
175,Kami Kuzu☆Idol, Studio Gokumi, 2022,0.0
176,Kami-tachi ni Hirowareta Otoko, Maho Film, 2020,6.84
177,Kami-tachi ni Hirowareta Otoko 2, Maho Film, 2023,0.0
178,Kamisama ni Natta Hi, P.A. Works, 2020,7.53
179,Kanojo mo Kanojo, Tezuka Productions, 2021,0.0
180,"Kanojo, Okarishimasu 2nd Season", TMS Entertainment, 2022,0.0
181,Karakai Jouzu no Takagi-san 3, Shin-Ei Animation, 2022,0.0
182,Kawaii dake ja Nai Shikimori-san, Doga Kobo, 2022,0.0
183,Kemono Jihen, Ajia-Do, 2021,0.0
184,Kenja no Deshi wo Nanoru Kenja, Studio A-CAT, 2022,0.0
185,Kenja no Deshi wo Nanoru Kenja, Studio A-CAT, 2022,5.62
186,Kimetsu no Yaiba: Yuukaku-hen, ufotable, 2021,8.68
187,"Kimi to Boku no Saigo no Senjou, Aruiwa Sekai ga Hajimaru Seisen", TV, Censored,0.0
188,King's Raid: Ishi wo Tsugumono-tachi," OLM, Sunrise Beyond", 2020,5.71
189,Kingdom 4th Season, 2022, Spring 2022,0.0
190,Kinsou no Vermeil: Gakeppuchi Majutsushi wa Saikyou no Yakusai to Mahou Sekai wo Tsukisusumu, Staple Entertainment, 2022,0.0
191,Kobayashi-san Chi no Maid Dragon S, Kyoto Animation, 2021,0.0
192,Koi to Yobu ni wa Kimochi Warui, Nomad, 2021,0.0
193,Koi wa Sekai Seifuku no Ato de, Project No.9, 2022,0.0
194,Kokyu no Karasu, Bandai Namco Pictures, 2022,0.0
195,"Komi-san wa, Comyushou desu.", OLM, 2021,0.0
196,"Komi-san wa, Comyushou desu. 2nd Season", 2022, 23 min.,0.0
197,Koori Zokusei Danshi to Cool na Douryou Joshi," Liber, Zero-G", 2023,0.0
198,Koroshi Ai, Platinum Vision, 2022,0.0
199,Koukaku Kidoutai: SAC_2045 – Jizoku Kanou Sensou," Production I.G, Sola Digital Arts", 2021,0.0
200,Kubo-san wa Mob wo Yurusanai, Pine Jam, 2023,0.0
201,Kuma Kuma Kuma Bear, TV, Censored,0.0
202,Kumichou Musume to Sewagakari," feel., Gaina", 2022,0.0
203,"Kumo desu ga, Nani ka?", TV, Censored,0.0
204,Kunoichi Tsubaki no Mune no Uchi, CloverWorks, 2022,0.0
205,Kuro no Shoukanshi, Satelight, 2022,0.0
206,Kyokou Suiri Season 2, Brain's Base, 2023,0.0
207,Kyoukai Senki, Sunrise Beyond, 2021,6.63
208,Kyoukai Senki Part 2, Sunrise Beyond, 2022,6.58
209,Kyuuketsuki Sugu Shinu, Madhouse, 2021,0.0
210,Kyuuketsuki Sugu Shinu, Madhouse, 2021,0.0
