,name,studio,yearReleased,rating
444,Yatogame-chan Kansatsu Nikki Nisatsume," Creators in Pack, Saetta",2020,6.3
138,Hypnosis Mic: Division Rap Battle – Rhyme Anima, A-1 Pictures,2020,6.26
106,Getter Robo Arc," Bee Media, Studio A-CAT",2021,6.25
337,Senyoku no Sigrdrifa, A-1 Pictures,2020,6.23
157,Iwa Kakeru!: Sport Climbing Girls, Blade,2020,6.23
19,Assault Lily: Bouquet, Shaft,2020,6.22
414,Tsukiuta. The Animation 2, Children's Playground Entertainment,2020,6.2
323,Saiyuuki Reload: Zeroin, LIDENFILMS,2022,6.17
1,180 Byou de Kimi no Mimi wo Shiawase ni Dekiru ka?," EKACHI EPILKA, Indivision",2021,6.17
45,Boruto: Naruto Next Generations, Studio Pierrot,2017,5.93
459,Boruto: Naruto Next Generations, Studio Pierrot,2017,5.93
460,Boruto: Naruto Next Generations, Studio Pierrot,2017,5.93
102,Gekidol, Hoods Entertainment,2021,5.73
188,King's Raid: Ishi wo Tsugumono-tachi," OLM, Sunrise Beyond",2020,5.71
146,Inu ni Nattara Suki na Hito ni Hirowareta., Quad,2023,5.67
147,Inu ni Nattara Suki na Hito ni Hirowareta. (Uncensored), Quad,2023,5.67
185,Kenja no Deshi wo Nanoru Kenja, Studio A-CAT,2022,5.62
115,Guraburu!," DMM.futureworks, W-Toon Studio",2020,5.54
289,Otona no Bouguya-san 2nd Season, IMAGICA Lab.,2021,5.47
449,Yu☆Gi☆Oh!: Sevens, Bridge,2020,5.46
67,Deep Insanity: The Lost Child, SILVER LINK.,2021,5.45
224,Maesetsu!," AXsiZ, Studio Gokumi",2020,5.38
428,Vazzrock The Animation, PRA,2022,5.38
91,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu, Studio Comet,2021,5.32
73,Dogeza de Tanondemita, DMM pictures,2020,5.2
341,Shadowverse (TV), Zexcs,2020,5.14
304,Rail Romanesque, Saetta,2020,4.84
413,Tsuki to Laika to Nosferatu, Arvo Animation,2021,0.0
389,Tate no Yuusha no Nariagari Season 2," DR Movie, Kinema Citrus",2022,0.0
314,RPG Fudousan, Doga Kobo,2022,0.0
319,Sabikui Bisco, OZ,2022,0.0
417,Uchi no Shishou wa Shippo ga Nai, LIDENFILMS,2022,0.0
448,Yu☆Gi☆Oh!: Go Rush!!, Bridge,2022,0.0
391,Technoroid: Overmind, Doga Kobo,2023,0.0
311,Renmei Kuugun Koukuu Mahou Ongakutai Luminous Witches, Shaft,2022,0.0
392,Tenchi Souzou Design-bu, Asahi Production,2021,0.0
415,Tsundere Akuyaku Reijou Liselotte to Jikkyou no Endou-kun to Kaisetsu no Kobayashi-san, Tezuka Productions,2023,0.0
465,Boku no Hero Academia 5th Season, Bones,2021,0.0
447,Yowamushi Pedal: Limit Break, TMS Entertainment,2022,0.0
294,Peter Grill to Kenja no Jikan: Super Extra," Seven, Wolfsbane",2022,0.0
293,Peach Boy Riverside, Asahi Production,2021,0.0
416,Tsurune: Tsunagari no Issha, Kyoto Animation,2023,0.0
291,Overlord IV, Madhouse,2022,0.0
322,Saikyou Onmyouji no Isekai Tenseiki, Studio Blanc,2023,0.0
404,Tokyo Revengers, LIDENFILMS,2021,0.0
318,Sabiiro no Armor: Reimei, Kigumi,2022,0.0
326,Sasaki to Miyano, Studio Deen,2022,0.0
422,Urusei Yatsura (2022), David Production,2022,0.0
328,Sayonara Watashi no Cramer, LIDENFILMS,2021,0.0
441,Yakunara Mug Cup mo, Nippon Animation,2021,0.0
434,Wave!!: Surfing Yappe!!, Asahi Production,2020,0.0
412,Tsuki ga Michibiku Isekai Douchuu, C2C,2021,0.0
443,Yama no Susume: Next Summit, 8bit,2022,0.0
377,Spy x Family Part 2," CloverWorks, Wit Studio",2022,0.0
320,Saihate no Paladin, Children's Playground Entertainment,2021,0.0
325,Sankaku Mado no Sotogawa wa Yoru, Zero-G,2021,0.0
327,Sasaki to Miyano: Koi ni Kizuku Mae no Chotto Shita Hanashi., Studio Deen,2022,0.0
403,Tokyo Mew Mew New ♡," Graphinica, Yumeta Company",2022,0.0
442,Yakusoku no Neverland 2nd Season, CloverWorks,2021,0.0
312,Revenger, Ajia-Do,2023,0.0
324,Sakugan, Satelight,2021,0.0
440,Xian Wang de Richang Shenghuo 2nd Season, Haoliners Animation League,2021,0.0
313,Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu, Felix Film,2023,0.0
406,Tomo-chan wa Onnanoko!, Lay-duce,2023,0.0
397,Tensei shitara Slime Datta Ken 2nd Season Part 2, 8bit,2021,0.0
65,Deaimon, Encourage Films,2022,0.0
296,Platinum End, Signal.MD,2021,0.0
410,Tribe Nine, LIDENFILMS,2022,0.0
124,Healer Girl, Studio 3Hz,2022,0.0
310,Renai Flops, Passione,2022,0.0
300,Princess Connect! Re:Dive Season 2, CygamesPictures,2022,0.0
136,Hoshi no Samidare, NAZ,2022,0.0
301,Project Scard: Praeter no Kizu, GoHands,2021,0.0
456,Zombieland Saga: Revenge, MAPPA,2021,0.0
135,Hortensia Saga (TV), LIDENFILMS,2021,0.0
411,Trigun Stampede, Orange,2023,0.0
454,"Yuusha Party wo Tsuihou sareta Beast Tamer, Saikyoushu no Nekomimi Shoujo to Deau", EMT Squared,2022,0.0
433,Watashi ni Tenshi ga Maiorita! Precious Friends, Doga Kobo,2022,0.0
453,Yuukoku no Moriarty 2nd Season, Production I.G,2021,0.0
399,Teppen!!!!!!!!!!!!!!!, Drive,2022,0.0
407,Tondemo Skill de Isekai Hourou Meshi, MAPPA,2023,0.0
396,Tensei shitara Ken Deshita, C2C,2022,0.0
299,Prima Doll, Bibury Animation Studios,2022,0.0
419,UniteUp!, CloverWorks,2023,0.0
401,The Legend of Heroes: Sen no Kiseki – Northern War, Tatsunoko Production,2023,0.0
290,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken, Project No.9,2023,0.0
357,Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei," Children's Playground Entertainment, feel.",2021,0.0
363,Shoot! Goal to the Future, EMT Squared,2022,0.0
292,Paripi Koumei, P.A. Works,2022,0.0
372,Sorairo Utility, Yostar Pictures,2021,0.0
400,TESLA NOTE, Gambit,2021,0.0
302,Puraore! Pride of Orange, C2C,2021,0.0
450,Yuru Camp△ Season 2, C-Station,2021,0.0
436,Wonder Egg Priority, CloverWorks,2021,0.0
305,Re-Main, MAPPA,2021,0.0
354,Shingeki no Kyojin: The Final Season Part 2, MAPPA,2022,0.0
358,Shinkansen Henkei Robo Shinkalion Z the Animation, OLM,2021,0.0
451,Yuuki Yuuna wa Yuusha de Aru: Dai Mankai no Shou, Studio Gokumi,2021,0.0
435,WIXOSS Diva(A)Live, J.C.Staff,2021,0.0
409,Toutotsu ni Egypt Shin 2nd Season, Typhoon Graphics,2023,0.0
100,Fuuto Tantei, Studio Kai,2022,0.0
360,Shinobi no Ittoki, TROYCA,2022,0.0
362,Shokei Shoujo no Virgin Road, J.C.Staff,2022,0.0
378,SSSS.Dynazenon, Trigger,2021,0.0
361,Shiroi Suna no Aquatope, P.A. Works,2021,0.0
288,Otome Game Sekai wa Mob ni Kibishii Sekai desu, ENGI,2022,0.0
364,Show by Rock!! Stars!!, Kinema Citrus,2021,0.0
365,Shuumatsu no Harem," AXsiZ, Studio Gokumi",2021,0.0
432,Warau Arsnotoria Sun!, LIDENFILMS,2022,0.0
430,Visual Prison, A-1 Pictures,2021,0.0
429,Vinland Saga Season 2, MAPPA,2023,0.0
423,Utawarerumono: Futari no Hakuoro, White Fox,2022,0.0
376,Spy x Family," CloverWorks, Wit Studio",2022,0.0
368,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita", Revoroot,2021,0.0
375,Spy Kyoushitsu, feel.,2023,0.0
374,Soukou Musume Senki, Studio A-CAT,2021,0.0
369,Slow Loop, Connect,2022,0.0
425,Vanitas no Carte, Bones,2021,0.0
424,Uzaki-chan wa Asobitai! Double, ENGI,2022,0.0
355,Shingeki no Kyojin: The Final Season Part 2, MAPPA,2022,0.0
437,World Trigger 2nd Season, Toei Animation,2021,0.0
371,Sono Bisque Doll wa Koi wo Suru, CloverWorks,2022,0.0
352,Shin Tennis no Ouji-sama: U-17 World Cup," M.S.C, Studio Kai",2022,0.0
331,Seiken Densetsu: Legend of Mana – The Teardrop Crystal," Graphinica, Yokohama Animation Lab",2022,0.0
332,Seirei Gensouki, TMS Entertainment,2021,0.0
439,World Witches Hasshin Shimasu!," Acca effe, Giga Production",2021,0.0
333,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"," SILVER LINK., Studio Palette",2021,0.0
387,Takt Op. Destiny," Madhouse, MAPPA",2021,0.0
386,Takt Op. Destiny," Madhouse, MAPPA",2021,0.0
334,Selection Project, Doga Kobo,2021,0.0
335,Senpai ga Uzai Kouhai no Hanashi, Doga Kobo,2021,0.0
336,"Sentouin, Hakenshimasu!", J.C.Staff,2021,0.0
384,Super Cub, Studio Kai,2021,0.0
420,Uramichi Oniisan, Studio Blanc,2021,0.0
383,Summertime Render, OLM,2022,0.0
338,Seven Knights Revolution: Eiyuu no Keishousha," domerica, LIDENFILMS",2021,0.0
339,Shadows House, CloverWorks,2021,0.0
340,Shadows House 2nd Season, CloverWorks,2022,0.0
342,Shadowverse Flame, Zexcs,2022,0.0
343,Shakunetsu Kabaddi, TMS Entertainment,2021,0.0
344,Shaman King (2021), Bridge,2021,0.0
381,Sugar Apple Fairy Tale, J.C.Staff,2023,0.0
346,"Shijou Saikyou no Daimaou, Murabito A ni Tensei suru"," Blade, SILVER LINK.",2022,0.0
347,Shikizakura, Sublimation,2021,0.0
348,Shikkakumon no Saikyou Kenja, J.C.Staff,2022,0.0
349,Shin Chuuka Ichiban! 2nd Season," Nihon Ad Systems, Production I.G",2021,0.0
350,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni Shimashita"," Studio Flad, Wolfsbane",2021,0.0
351,Shin Shinka no Mi: Shiranai Uchi ni Kachigumi Jinsei, Hotline,2023,0.0
438,World Trigger 3rd Season, Toei Animation,2021,0.0
405,Tokyo Revengers: Seiya Kessen-hen, LIDENFILMS,2023,0.0
330,Seijo no Maryoku wa Bannou Desu, Diomedéa,2021,0.0
237,Maou Gakuin no Futekigousha II, SILVER LINK.,2023,0.0
287,Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta… X, SILVER LINK.,2021,0.0
86,Eternal Boys, LIDENFILMS,2022,0.0
96,Futoku no Guild, TNK,2022,0.0
94,Fumetsu no Anata e, Brain's Base,2021,0.0
93,Fruits Basket: The Final, TMS Entertainment,2021,0.0
92,Fantasy Bishoujo Juniku Ojisan to, OLM Team Yoshioka,2022,0.0
90,Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu, Studio Comet,2021,0.0
89,Extreme Hearts, Seven Arcs,2022,0.0
88,Exception," 5 Inc., Bakken Record",2022,0.0
87,Ex-Arm, Visual Flight,2021,0.0
84,Engage Kiss, A-1 Pictures,2022,0.0
99,"Fuufu Ijou, Koibito Miman.", studio MOTHER,2022,0.0
82,"Eiyuuou, Bu wo Kiwameru Tame Tenseisu: Soshite, Sekai Saikyou no Minarai Kishi", Studio Comet,2023,0.0
81,Edens Zero, J.C.Staff,2021,0.0
80,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Shin Shou – Meikyuu-hen, J.C.Staff,2022,0.0
79,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou – Yakusai-hen, J.C.Staff,2023,0.0
76,Dolls’ Frontline, Asahi Production,2022,0.0
74,Dogeza de Tanondemita: Isekai-hen, DMM pictures,2021,0.0
72,Do It Yourself!!, Pine Jam,2022,0.0
71,Digimon Ghost Game, Toei Animation,2021,0.0
98,Futsal Boys!!!!!, Diomedéa,2022,0.0
132,Hikari no Ou, Signal.MD,2023,0.0
33,Bishounen Tanteidan, Shaft,2021,0.0
129,High Card, Studio Hibari,2022,0.0
47,Buddy Daddies, P.A. Works,2023,0.0
